"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"28","Slender-billed Vulture","Gyps tenuirostris","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",204781113,2021-07-12,"CR","3.1","A2ace+4ace","A2ace+4ace",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No",NA,"2130000","730-870",NA,4,10,10,6,2400,22,400,NA
"29","Swift Parrot","Lathamus discolor","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",130886700,2018-08-07,"CR","3.1","A3ce","A3ce",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No",NA,"21500","1000-2499","11-100",4,10,10,5,2000,29,400,NA
"30","Orange-bellied Parrot","Neophema chrysogaster","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",130894893,2018-08-15,"CR","3.1","A2ace; C2a(i,ii); D","A2ace; C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","30","12800","20-25","1",4,10,5,10,2000,29,400,NA
"31","Gurney's Pitta","Hydrornis gurneyi","CHORDATA","AVES","PASSERIFORMES","PITTIDAE",157110021,2019-08-22,"CR","3.1","A3c","A3c",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"5700","1000-2500",NA,4,10,10,5,2000,29,400,NA
"32","Yellow-crested Cockatoo","Cacatua sulphurea","CHORDATA","AVES","PSITTACIFORMES","CACATUIDAE",178119524,2021-08-19,"CR","3.1","A2bcd+4bcd","A2bcd+4bcd",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,"965000","1200-2000","15-100",4,10,10,5,2000,29,400,NA
"33","Yellow-naped Amazon","Amazona auropalliata","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",180373727,2021-07-12,"CR","3.1","A4acd","A4acd",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"509000","1000-2499",NA,4,10,10,5,2000,29,400,NA
"34","Bahama Nuthatch","Sitta insularis","CHORDATA","AVES","PASSERIFORMES","SITTIDAE",181353443,2020-08-27,"CR","3.1","A2ac; B1ab(iii,v); C2a(i,ii); D","A2ac; B1ab(iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","No","Yes",NA,"80","1-49","1",4,10,5,10,2000,29,400,NA
"35","Lilacine Amazon","Amazona lilacina","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",181432250,2020-08-11,"CR","3.1","A4abcd","A4abcd",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","No",NA,"28200","1000-2499",NA,4,10,10,5,2000,29,400,NA
"36","Straw-headed Bulbul","Pycnonotus zeylanicus","CHORDATA","AVES","PASSERIFORMES","PYCNONOTIDAE",183176477,2020-08-26,"CR","3.1","A2cd+4cd","A2cd+4cd",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Unknown","No",NA,"2290000","600-1700",NA,4,10,10,5,2000,29,400,NA
"37","Citron-crested Cockatoo","Cacatua citrinocristata","CHORDATA","AVES","PSITTACIFORMES","CACATUIDAE",201545199,2021-08-16,"CR","3.1","A2bcd+4bcd","A2bcd+4bcd",1,"Decreasing","Yes","Yes","No","Unknown",NA,NA,"No",NA,"13100","800-1320,1320","17",4,10,10,5,2000,29,400,NA
"38","Magenta Petrel","Pterodroma magentae","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",131879320,2018-08-07,"CR","3.1","A2ce","A2ce",1,"Increasing","No","No","Unknown","Unknown","No","Unknown","Yes","2","1850000","80-100","1",4,10,5,9,1800,38,360,NA
"39","Kakapo","Strigops habroptilus","CHORDATA","AVES","PSITTACIFORMES","STRIGOPIDAE",129751169,2018-08-07,"CR","3.1","A2be","A2be",1,"Increasing","No","No","No","No","No","No","Yes",NA,"95100","116","3",4,10,5,8,1600,39,320,NA
"40","Malherbe's Parakeet","Cyanoramphus malherbi","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",130890144,2018-08-07,"CR","3.1","A2bce","A2bce",1,"Stable","Yes","Unknown","Yes","Yes","Yes","Yes","Yes",NA,"118000","50-249","7",4,10,5,8,1600,39,320,NA
"41","Siberian Crane","Leucogeranus leucogeranus","CHORDATA","AVES","GRUIFORMES","GRUIDAE",134180990,2018-08-17,"CR","3.1","A3bcd","A3bcd",1,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Yes","Yes",NA,"1040000",NA,"2-5",4,10,10,4,1600,39,400,NA
"42","MacGillivray's Prion","Pachyptila macgillivrayi","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",198532259,2021-03-18,"CR","3.1","A3be+4be","A3be+4be",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","28-52","10800000-20000000","48300-2421480","2-10",4,10,10,4,1600,39,400,NA
"43","Baudin's Black-cockatoo","Zanda baudinii","CHORDATA","AVES","PSITTACIFORMES","CACATUIDAE",210840935,2021-11-16,"CR","3.1","A2bcde+3cde+4bcde","A2bcde+3cde+4bcde",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","No","No",NA,"79000","2500-4000, 3250",NA,4,10,10,4,1600,39,400,NA
"44","African Penguin","Spheniscus demersus","CHORDATA","AVES","SPHENISCIFORMES","SPHENISCIDAE",256021744,2024-07-04,"CR","3.1","A3bce+4bce","A3bce+4bce",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","No","No","244","449000","19800","3",4,10,10,4,1600,39,400,NA
"45","Regent Honeyeater","Anthochaera phrygia","CHORDATA","AVES","PASSERIFORMES","MELIPHAGIDAE",130992272,2018-08-06,"CR","3.1","A2bce","A2bce",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","No","300","129000","350-400","11-100",4,10,5,7,1400,45,280,NA
"46","Blue-throated Macaw","Ara glaucogularis","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",196624397,2021-02-12,"CR","3.1","A1abcde","A1abcde",1,"Stable","No","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"50800","208-303","11-100",4,10,5,7,1400,45,280,NA
"47","Philippine Cockatoo","Cacatua haematuropygia","CHORDATA","AVES","PSITTACIFORMES","CACATUIDAE",117578604,2017-10-01,"CR","3.1","A2bcd","A2bcd",1,"Decreasing","Unknown","Yes","Yes","Yes","Yes","Unknown","No","300","734000","430-750","11-100",4,10,5,6,1200,47,240,NA
"48","Streaked Reed-warbler","Acrocephalus sorghophilus","CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE",154735033,2022-01-05,"CR","3.1","A2bc","A2bc",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","No",NA,"48700","1-999",NA,4,10,5,6,1200,47,240,NA
"49","Javan Blue Flycatcher","Cyornis banyumas","CHORDATA","AVES","PASSERIFORMES","MUSCICAPIDAE",183119806,2020-08-09,"CR","3.1","A2bcd","A2bcd",1,"Decreasing","Yes","No","Yes","Yes","Yes","Yes","No","120-480,240","59000","100-1000","5-15,8",4,10,5,6,1200,47,240,NA
"50","Northern Royal Albatross","Diomedea sanfordi","CHORDATA","AVES","PROCELLARIIFORMES","DIOMEDEIDAE",132656392,2018-08-07,"EN","3.1","A4bc; B2ab(iii,v)","A4bc; B2ab(iii,v)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","8","115000000","17000","3-5",2,10,6,9,1080,50,180,NA
"51","Australian Painted-snipe","Rostratula australis","CHORDATA","AVES","CHARADRIIFORMES","ROSTRATULIDAE",212815091,2022-01-14,"EN","3.1","A2bce+3bce+4bce; C2a(ii)","A2bce+3bce+4bce; C2a(ii)",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","No","1900-3100,2500","5200000","270-410, 340",NA,2,10,6,7,840,51,140,NA
"52","Cherry-throated Tanager","Nemosia rourei","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE",130617765,2018-08-07,"CR","3.1","C2a(ii); D","C2a(ii); D",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes",NA,"2200","30-200","2-5",4,10,2,10,800,52,400,NA
"53","Maranon Spinetail","Synallaxis maranonica","CHORDATA","AVES","PASSERIFORMES","FURNARIIDAE",130654683,2018-08-07,"CR","3.1","A3c","A3c",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,"8000","6000-15000","6",4,10,10,2,800,52,400,NA
"54","Tachira Antpitta","Grallaria chthonia","CHORDATA","AVES","PASSERIFORMES","GRALLARIIDAE",130770719,2018-08-06,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes",NA,"500","1-49","1",4,10,2,10,800,52,400,NA
"55","Chinese Crested Tern","Thalasseus bernsteini","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE",131118818,2018-08-07,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","6","114000","30-49","4",4,10,2,10,800,52,400,NA
"56","Alagoas Curassow","Mitu mitu","CHORDATA","AVES","GALLIFORMES","CRACIDAE",132315266,2018-08-07,"EW","3.1",NA,NA,1,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,8,1,10,10,800,52,80,NA
"57","Fiji Petrel","Pseudobulweria macgillivrayi","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",132613365,2018-08-07,"CR","3.1","C2a(i,ii);D","C2a(i,ii);D",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","27","165000","1-49","1",4,10,2,10,800,52,400,NA
"58","Galapagos Petrel","Pterodroma phaeopygia","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",132619647,2018-08-07,"CR","3.1","A2bce","A2bce",1,"Decreasing","Yes","Yes","No","Unknown","Yes","No","Yes","220","16800000","6000-15000","5",4,10,5,4,800,52,200,NA
"59","Sangihe Dwarf-kingfisher","Ceyx sangirensis","CHORDATA","AVES","CORACIIFORMES","ALCEDINIDAE",134198542,2018-08-18,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"700","1-249",NA,4,10,2,10,800,52,400,NA
"60","Cerulean Flycatcher","Eutrichomyias rowleyi","CHORDATA","AVES","PASSERIFORMES","LAMPROLIIDAE",134416536,2018-08-22,"CR","3.1","B1ab(i,ii,iii,v); C2a(i,ii); D","B1ab(i,ii,iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","12","16","21-100","1",4,10,2,10,800,52,400,NA
"61","Sangihe Golden Bulbul","Hypsipetes platenae","CHORDATA","AVES","PASSERIFORMES","PYCNONOTIDAE",134465614,2018-08-22,"CR","3.1","B1ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","No","No","12","12","30-150","1",4,10,2,10,800,52,400,NA
"62","Sangihe White-eye","Zosterops nehrkorni","CHORDATA","AVES","PASSERIFORMES","ZOSTEROPIDAE",134475330,2018-08-22,"CR","3.1","B1ab(ii,iii,v);C2a(i,ii);D","B1ab(ii,iii,v);C2a(i,ii);D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes",NA,"18","1-49","1",4,10,2,10,800,52,400,NA
"63","Spix's Macaw","Cyanopsitta spixii","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",153022606,2019-06-20,"EW","3.1",NA,NA,1,NA,"No","Unknown","No","No","No","No","No","0","0","0","0",8,1,10,10,800,52,80,NA
"64","Silvery Pigeon","Columba argentina","CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",155300126,2019-07-26,"CR","3.1","D","D",1,"Decreasing","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"32900","1-49",NA,4,10,2,10,800,52,400,NA
"65","Pernambuco Pygmy-owl","Glaucidium mooreorum","CHORDATA","AVES","STRIGIFORMES","STRIGIDAE",156084939,2019-08-06,"CR","3.1","B1ab(ii,iii,iv,v); C2a(i,ii); D","B1ab(ii,iii,iv,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes",NA,"0-100","0-49","0-18",4,10,2,10,800,52,400,NA
"66","South Island Kokako","Callaeas cinereus","CHORDATA","AVES","PASSERIFORMES","CALLAEIDAE",156237250,2019-08-08,"CR","3.1","D","D",1,"Decreasing","Yes","No","Yes","Unknown","Yes","Unknown","Yes",NA,"0-11400","0-49",NA,4,10,2,10,800,52,400,NA
"67","Javan Lapwing","Vanellus macropterus","CHORDATA","AVES","CHARADRIIFORMES","CHARADRIIDAE",156373575,2019-08-09,"CR","3.1","D","D",1,"Decreasing","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes",NA,"1","0-49",NA,4,10,2,10,800,52,400,NA
"68","Stresemann's Bristlefront","Merulaxis stresemanni","CHORDATA","AVES","PASSERIFORMES","RHINOCRYPTIDAE",161689029,2020-08-05,"CR","3.1","B1ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","56","56","1-49","1",4,10,2,10,800,52,400,NA
"69","Alagoas Antwren","Myrmotherula snowi","CHORDATA","AVES","PASSERIFORMES","THAMNOPHILIDAE",161705427,2020-08-10,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","No","Unknown","No","No","No","No","230","230","1-49","5-10",4,10,2,10,800,52,400,NA
"70","Sulu Hornbill","Anthracoceros montani","CHORDATA","AVES","BUCEROTIFORMES","BUCEROTIDAE",178062684,2020-06-25,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","No","Yes","400","780","1-49","2-5",4,10,2,10,800,52,400,NA
"71","Socorro Dove","Zenaida graysoni","CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",178409463,2020-08-26,"EW","3.1",NA,NA,1,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,8,1,10,10,800,52,80,NA
"72","Sinu Parakeet","Pyrrhura subandina","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE",179484790,2020-07-16,"CR","3.1","D","D",1,"Decreasing","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,"1-49",NA,4,10,2,10,800,52,400,NA
"73","Cozumel Thrasher","Toxostoma guttatum","CHORDATA","AVES","PASSERIFORMES","MIMIDAE",179828104,2020-08-28,"CR","3.1","D","D",1,"Decreasing","Unknown","Yes","No","Unknown","Unknown","No","Yes",NA,"150","1-49","1",4,10,2,10,800,52,400,NA
"74","Santa Marta Sabrewing","Campylopterus phainopeplus","CHORDATA","AVES","CAPRIMULGIFORMES","TROCHILIDAE",181107620,2020-08-06,"CR","3.1","C2a(i,ii); D","C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"2900","1-49","1-5",4,10,2,10,800,52,400,NA
"75","California Condor","Gymnogyps californianus","CHORDATA","AVES","CATHARTIFORMES","CATHARTIDAE",181151405,2020-08-28,"CR","3.1","C2a(i); D","C2a(i); D",1,"Increasing","Yes","Unknown","Unknown","Unknown","Unknown","No","No",NA,"405000","93","2-5",4,10,2,10,800,52,400,NA
"76","Mangrove Finch","Geospiza heliobates","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE",182523098,2021-07-19,"CR","3.1","B1ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","28","28","20-40","1",4,10,2,10,800,52,400,NA
"77","Bali Myna","Leucopsar rothschildi","CHORDATA","AVES","PASSERIFORMES","STURNIDAE",183006359,2020-08-24,"CR","3.1","B1ab(v); C2a(i,ii); D","B1ab(v); C2a(i,ii); D",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes",NA,"38","1-49","1",4,10,2,10,800,52,400,NA
"78","Wilkins's Finch","Nesospiza wilkinsi","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE",200062503,2021-04-15,"CR","3.1","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D","B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(i,ii); D",1,"Decreasing","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","4","4","1-49","1",4,10,2,10,800,52,400,NA
"79","White-eyed River Martin","Eurochelidon sirintarae","CHORDATA","AVES","PASSERIFORMES","HIRUNDINIDAE",203170332,2021-06-28,"CR","3.1","D","D",1,"Decreasing","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"0-87","1-49",NA,4,10,2,10,800,52,400,NA
